id,url,date,content,replyCount,retweetCount,likeCount,quoteCount
1485705398464266247,https://twitter.com/cnnbrk/status/1485705398464266247,2022-01-24 20:05:44+00:00,"Up to 8,500 US troops have been put on heightened alert for a possible deployment to Eastern Europe as Russian troops mass on Ukraine's border, Pentagon spokesman John Kirby said https://t.co/VmzJrK07SH",566,612,1591,223
1495509489004552193,https://twitter.com/TomTugendhat/status/1495509489004552193,2022-02-20 21:23:42+00:00,"If you pray for Ukraine you’re praying for yourself.

War would lead to unexpected outcomes, division, and suffering. Even in Britain, where we feel safe, higher prices and global risk will cost families and cause pain.

Putin isn’t just threatening Kyiv, he’s threatening us all.",561,941,5681,80
1498785770282307592,https://twitter.com/KellieADennis74/status/1498785770282307592,2022-03-01 22:22:28+00:00,This maybe a very unpopular and may lose followers but I would support the US troops going into Ukraine to take out Putin.,561,96,1517,51
1496206993803329537,https://twitter.com/OccupyDemocrats/status/1496206993803329537,2022-02-22 19:35:20+00:00,"BREAKING: Trump praises Putin as ""genius"" and ""savvy,"" says his recognition of two regions in Ukraine as independent is ""wonderful"" and ""smart"" and that the U.S. should copy his ""peacekeeper"" aggression along the Mexican border. RT IF YOU THINK TRUMP IS A TRAITOR!",556,3153,5153,285
1487604798190936065,https://twitter.com/ColumbiaBugle/status/1487604798190936065,2022-01-30 01:53:16+00:00,"President Trump Calling Out Biden &amp; Washington For Focusing On Ukraine's Border Instead Of America's Border

""It's always America Last.""

""Before Joe Biden sends any troops to defend a border in Eastern Europe he should be sending troops to defend our border right here in Texas."" https://t.co/sqUeQo09fI",552,3727,13322,291
1499829665447436296,https://twitter.com/GeorgePapa19/status/1499829665447436296,2022-03-04 19:30:32+00:00,"Breaking: After Kamala Harris failed to secure the southern border, and then Ukraine’s, she has now been ordered to the Polish border.

What’s the worst that could happen?",548,1053,5581,80
1493282583068696579,https://twitter.com/georgegalloway/status/1493282583068696579,2022-02-14 17:54:46+00:00,Y’all said #Russia was about to invade #Ukraine. I told you it wasn’t. You were wrong. I was right. Again. Show some bloody humility. Especially if they’re not even paying you to act like an idiot.,547,329,1704,366
1498391843637456896,https://twitter.com/PaulMcCartney/status/1498391843637456896,2022-02-28 20:17:08+00:00,Remembering playing for our friends in Ukraine in Independence Square in 2008 and thinking of them in these difficult times. We send our love and support. 🇺🇦 #StandWithUkraine 1/2 https://t.co/aGTQ3xW9KX,545,6993,46307,363
1497276667991138311,https://twitter.com/disclosetv/status/1497276667991138311,2022-02-25 18:25:50+00:00,JUST IN - Large convoy of lethal NATO supplies crossed the border into Ukraine. Poland's Minister of Defence Mariusz Błaszczak shared this picture. https://t.co/4BQI6bituH,545,3096,10969,604
1499874917055090692,https://twitter.com/lesiavasylenko/status/1499874917055090692,2022-03-04 22:30:21+00:00,I really do want to stay positive. So to end the Twitter feed for tonight: 390 babies were born in #Ukraine during these 9 days of war: 199 boys and 191 girls. #StandWithUkraine for our future https://t.co/gSWyZpzwhA,543,6416,33317,389
1489962611173212171,https://twitter.com/AP/status/1489962611173212171,2022-02-05 14:02:23+00:00,"When the Biden administration was asked for evidence to back up national security claims, it simply demurred: You’ll have to trust us. They would not reveal how they knew that Russia was plotting a false flag operation as a pretext to invade Ukraine. https://t.co/1ycjx4C4ap",542,306,1080,208
1498443642389909504,https://twitter.com/AndrzejDuda/status/1498443642389909504,2022-02-28 23:42:58+00:00,"I’ve just talked with President @ZelenskyyUa about the war in Ukraine. Russian rockets and missiles, including the internationally banned cluster bombs, are dropping on residential quarters of Kiev, Kharkiv and other cities. The situation is difficult but Ukraine is brave! 🇵🇱🤝🇺🇦",539,728,4976,38
